2026-06-30 21:17:10.423 | INFO     | __main__:main:11 - ==================================================
2026-06-30 21:17:10.427 | INFO     | __main__:main:12 - 🚀 Starting AlphaQuant-Gold [v1.0.0]
2026-06-30 21:17:10.437 | INFO     | __main__:main:13 - 📦 Execution Mode: DEVELOPMENT
2026-06-30 21:17:10.445 | INFO     | __main__:main:14 - 🎯 Target Asset: GC=F
2026-06-30 21:17:10.452 | INFO     | __main__:main:15 - ==================================================
2026-06-30 21:17:10.460 | DEBUG    | __main__:main:17 - นี่คือข้อความระดับ DEBUG (จะเห็นเฉพาะในโหมด development)
2026-06-30 21:17:10.480 | SUCCESS  | __main__:main:18 - Phase 1: Environment & Architecture พร้อมปฏิบัติงานครับ!
2026-06-30 21:26:50.461 | INFO     | __main__:main:12 - ==================================================
2026-06-30 21:26:50.462 | INFO     | __main__:main:13 - 🚀 Starting AlphaQuant-Gold [Phase 2: Data Synchronizer]
2026-06-30 21:26:50.462 | INFO     | __main__:main:14 - ==================================================
2026-06-30 21:26:50.463 | INFO     | __main__:main:26 - --- Loading Target Asset: GC=F ---
2026-06-30 21:26:50.463 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:26:50.463 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:26:57.641 | INFO     | __main__:main:31 - --- Loading Auxiliary Assets ---
2026-06-30 21:26:57.642 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:26:57.643 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:26:57.948 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:26:57.948 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:26:58.291 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-06-30 21:26:58.299 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 925 -> หลัง 0
2026-06-30 21:26:58.299 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3654, 15)
2026-06-30 21:35:41.328 | INFO     | __main__:main:12 - ==================================================
2026-06-30 21:35:41.328 | INFO     | __main__:main:13 - 🚀 Starting AlphaQuant-Gold [Phase 2: Data Synchronizer]
2026-06-30 21:35:41.328 | INFO     | __main__:main:14 - ==================================================
2026-06-30 21:35:41.328 | INFO     | __main__:main:26 - --- Loading Target Asset: GC=F ---
2026-06-30 21:35:41.328 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:35:41.328 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:35:42.486 | INFO     | __main__:main:31 - --- Loading Auxiliary Assets ---
2026-06-30 21:35:42.486 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:35:42.487 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:35:43.002 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 21:35:43.002 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 21:35:43.432 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-06-30 21:35:43.439 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 925 -> หลัง 0
